instant_day,dteday,season_day,yr_day,mnth_day,holiday_day,weekday_day,workingday_day,weathersit_day,temp_day,atemp_day,hum_day,windspeed_day,casual_day,registered_day,cnt_day,instant_hour,season_hour,yr_hour,mnth_hour,hr,holiday_hour,weekday_hour,workingday_hour,weathersit_hour,temp_hour,atemp_hour,hum_hour,windspeed_hour,casual_hour,registered_hour,cnt_hour,is_peak_hour,price,net_change
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,11,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,0,5.308767414437037,22.0
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,12,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,0,19.548647782429914,20.0
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,13,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,0,17.486639612006325,28.0
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,14,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,0,8.185086660174143,10.0
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,15,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,0,7.727374508106509,12.0
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,16,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,0,7.7510676478015075,4.0
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,17,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,1,9.563633644393066,-17.0
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,18,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,1,12.871346474483568,-26.0
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,19,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,1,11.479175279631736,-32.0
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,20,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,0,9.36843710297063,2.0
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,21,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,0,14.177793420835693,-1.0
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,22,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,0,7.092407909780627,-2.0
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,23,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,0,9.382169728028272,-6.0
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,24,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,0,10.495427649405375,11.0
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,25,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,0,11.841049763255539,
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,26,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,0,16.777639420895206,0.0
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,27,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,0,7.995106732375396,-8.0
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,28,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,0,12.713516576204174,-3.0
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,29,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,0,13.886218532930638,-3.0
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,30,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,0,5.696756190799966,-1.0
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,31,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,0,14.113172778521575,-1.0
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,32,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,0,7.557861855309373,7.0
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,33,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,0,5.975773894779193,12.0
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,34,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,0,19.233283058799998,33.0
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,35,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,0,19.48448049611839,17.0
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,36,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,0,17.12596022174692,23.0
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,37,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,0,9.56920653760056,-18.0
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,38,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,0,6.465081710095758,-16.0
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,39,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,0,15.263495397682354,15.0
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,40,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,1,11.60228740609402,2.0
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,41,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,1,6.830573522671682,-11.0
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,42,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,1,12.427653651669052,-12.0
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,43,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,0,5.515827816728276,-23.0
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,44,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,0,18.63980603118173,-8.0
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,45,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,0,8.881699724000253,9.0
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,46,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,0,14.93783426530973,-22.0
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,47,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,0,9.675666141341164,-1.0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,48,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,0,12.801020317667163,
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,49,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,0,13.200654190149194,-3.0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,50,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,0,7.7728168328829055,-1.0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,51,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,0,19.54376941646838,2.0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,52,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,0,16.626992350416717,27.0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,53,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,0,19.092484123462835,34.0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,54,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,0,18.422410256414732,90.0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,55,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,0,13.968499682166277,-66.0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,56,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,0,18.82811352534675,-44.0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,57,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,0,6.327387530778792,7.0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,58,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,0,7.939742936287178,10.0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,59,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,0,5.678409333658071,0.0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,60,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,0,9.879954961448965,16.0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,61,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,0,10.83015934534223,-5.0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,62,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,1,9.070235476608438,4.0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,63,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,1,17.43106263727894,81.0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,64,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,1,10.35129990040384,0.0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,65,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,0,9.214017645310712,-47.0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,66,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,0,13.140441247373728,-58.0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,67,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,0,7.11386337462144,0.0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,68,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,0,17.032954711310595,-32.0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,69,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,0,6.118259655196562,-8.0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,70,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,0,19.80330404900776,
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,71,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,0,16.58367153944986,-3.0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,72,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,0,7.980735223012586,-1.0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,73,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,0,5.082831756854036,1.0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,74,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,0,17.231921426822513,2.0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,75,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,0,15.602860157714257,32.0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,76,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,0,15.93510752061481,58.0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,77,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,0,16.569055200289185,85.0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,78,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,0,6.110669776011355,-79.0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,79,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,0,10.376985928164089,-58.0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,80,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,0,6.738035892876946,15.0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,81,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,0,17.9465513881339,21.0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,82,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,0,14.349471902413368,19.0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,83,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,0,9.963470372789738,-34.0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,84,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,0,5.953375254290354,2.0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,85,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,1,9.664734825734932,18.0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,86,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,1,9.877749830401205,129.0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,87,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,1,15.94409267507096,-30.0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,88,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,0,14.563362070328196,-70.0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,89,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,0,18.308191138644897,-58.0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,90,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,0,12.083223877429239,-6.0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,91,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,0,6.793913689074525,-13.0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,92,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,0,15.698671808344924,-24.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,93,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,0,16.411775729253463,
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,94,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,0,13.419157963542444,0.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,95,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,0,16.564507699318415,-4.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,96,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,0,12.40693394546586,0.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,97,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,0,12.840992440729911,1.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,98,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,0,11.413115275378244,30.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,99,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,0,5.3812869011614275,55.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,100,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,0,6.618371404899567,107.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,101,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,0,5.471437785301013,-80.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,102,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,0,14.546156168956706,-58.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,103,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,0,9.7153397161449,-11.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,104,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,0,12.628560367470541,33.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,105,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,0,18.613497108891394,-8.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,106,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,0,8.739383437233124,-9.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,107,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,0,11.155743845534445,0.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,108,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,1,16.33326707814573,27.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,109,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,1,8.431972482374338,101.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,110,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,1,6.1546986474318945,-21.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,111,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,0,9.34627179370652,-37.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,112,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,0,7.418319308810066,-43.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,113,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,0,18.945464785138597,-46.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,114,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,0,17.121805693466253,-1.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,115,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,0,14.501056347656352,-23.0
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,116,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,0,18.071908852815767,
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,117,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,0,17.055081153486718,-7.0
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,118,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,0,7.798550883290537,-2.0
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,119,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,0,18.388384977349666,-1.0
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,120,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,0,13.09013362873476,3.0
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,121,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,0,17.11160232746094,32.0
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,122,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95,0,18.4413694988524,59.0
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,123,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,0,9.770052124577958,124.0
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,124,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122,0,6.650778867915151,-97.0
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,125,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45,0,8.419027438129126,-77.0
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,126,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,0,11.406616829393844,14.0
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,127,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84,0,17.270221488837397,25.0
